k,m,n,x_max,y_max,F_max,time setup,time keygen,time encrypt,time decrypt,time total
3,3,2,3,2,2,195980.07202148438,299215.31677246094,48398.97155761719,91085433.95996094,91629028.3203125
4,4,3,3,2,2,230789.1845703125,339269.63806152344,35524.36828613281,129431724.54833984,130037307.73925781
5,5,4,3,2,2,324964.5233154297,417470.93200683594,55551.52893066406,179619550.70495605,180417537.68920898
6,6,5,3,2,2,385761.2609863281,556468.9636230469,85353.85131835938,205469131.46972656,206496715.5456543
7,7,6,3,2,2,468492.5079345703,603675.8422851562,123023.98681640625,282212257.3852539,283407449.72229004
8,8,7,3,2,2,506877.8991699219,605583.1909179688,150442.12341308594,403267383.57543945,404530286.7889404
9,9,8,3,2,2,633955.0018310547,787258.1481933594,202655.79223632812,484493970.8709717,486117839.8132324
10,10,9,3,2,2,659942.626953125,878810.8825683594,267267.22717285156,682824373.2452393,684630393.9819336
11,11,10,3,2,2,772953.0334472656,1058340.072631836,338315.9637451172,657689332.9620361,659858942.0318604
